date,campaign,spend
2026-03-29,Google Ads,136.81
2026-03-29,Facebook Ads,52.45
2026-03-28,Google Ads,135.44
2026-03-28,Facebook Ads,110.16
2026-03-27,Google Ads,132.25
2026-03-27,Facebook Ads,40.48
2026-03-26,Google Ads,108.69
2026-03-26,Facebook Ads,63.03
2026-03-25,Google Ads,81.52
2026-03-25,Facebook Ads,84.65
2026-03-24,Google Ads,58.8
2026-03-24,Facebook Ads,76.43
2026-03-23,Google Ads,74.06
2026-03-23,Facebook Ads,79.21
2026-03-22,Google Ads,121.46
2026-03-22,Facebook Ads,96.32
2026-03-21,Google Ads,90.43
2026-03-21,Facebook Ads,41.7
2026-03-20,Google Ads,83.76
2026-03-20,Facebook Ads,107.62
2026-03-19,Google Ads,140.79
2026-03-19,Facebook Ads,111.94
2026-03-18,Google Ads,121.37
2026-03-18,Facebook Ads,55.96
2026-03-17,Google Ads,119.08
2026-03-17,Facebook Ads,112.27
2026-03-16,Google Ads,118.75
2026-03-16,Facebook Ads,115.05
2026-03-15,Google Ads,122.32
2026-03-15,Facebook Ads,86.36
2026-03-14,Google Ads,109.17
2026-03-14,Facebook Ads,76.87
2026-03-13,Google Ads,53.54
2026-03-13,Facebook Ads,43.27
2026-03-12,Google Ads,105.32
2026-03-12,Facebook Ads,71.97
2026-03-11,Google Ads,149.91
2026-03-11,Facebook Ads,102.71
2026-03-10,Google Ads,105.83
2026-03-10,Facebook Ads,68.21
2026-03-09,Google Ads,148.04
2026-03-09,Facebook Ads,72.26
2026-03-08,Google Ads,132.12
2026-03-08,Facebook Ads,80.75
2026-03-07,Google Ads,73.63
2026-03-07,Facebook Ads,50.53
2026-03-06,Google Ads,111.53
2026-03-06,Facebook Ads,65.91
2026-03-05,Google Ads,99.66
2026-03-05,Facebook Ads,107.53
2026-03-04,Google Ads,66.52
2026-03-04,Facebook Ads,117.91
2026-03-03,Google Ads,69.66
2026-03-03,Facebook Ads,89.13
2026-03-02,Google Ads,135.85
2026-03-02,Facebook Ads,105.78
2026-03-01,Google Ads,137.18
2026-03-01,Facebook Ads,74.15
2026-02-28,Google Ads,106.52
2026-02-28,Facebook Ads,66.48
